,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
401,Festus Ezeli,2015-16,34,1.693,31,0.813,2008
402,JaMychal Green,2016-17,34,0.802,31,0.645,4238
403,Jon Leuer,2016-17,34,0.889,31,1.129,3824
404,Gorgui Dieng,2019-20,34,1.450,32,0.906,2345
405,Jabari Parker,2018-19,34,0.948,31,0.839,3588
406,Mason Plumlee,2015-16,34,0.709,32,1.000,4798
407,Al Horford,2014-15,34,0.616,28,0.929,5517
408,Terrence Jones,2016-17,33,1.280,33,0.879,2579
409,Joakim Noah,2018-19,33,2.337,31,0.516,1412
410,Salah Mejri,2017-18,33,2.316,33,0.939,1425
411,Enes Freedom,2018-19,33,0.776,32,1.063,4251
412,Rui Hachimura,2020-21,33,0.758,31,1.281,4356
413,Brook Lopez,2015-16,33,0.686,31,1.161,4810
414,Kris Humphries,2013-14,33,1.251,30,0.833,2638
415,Nerlens Noel,2019-20,33,1.330,30,0.800,2481
416,John Henson,2013-14,33,0.949,30,0.733,3476
417,Pau Gasol,2015-16,33,0.726,32,0.813,4543
418,Gorgui Dieng,2015-16,33,0.758,33,0.879,4351
419,John Collins,2018-19,33,0.843,32,1.094,3916
420,Kevon Looney,2016-17,33,3.599,31,1.032,917
421,Anderson Varejao,2013-14,32,0.936,30,0.800,3417
422,P.J. Washington,2019-20,32,0.929,29,0.690,3443
423,Ed Davis,2017-18,32,1.058,30,1.100,3025
424,DeAndre Jordan,2019-20,32,1.234,30,0.500,2593
425,Taj Gibson,2013-14,32,0.692,30,1.333,4623
426,Jared Sullinger,2015-16,32,0.800,29,0.966,4001
427,Jahlil Okafor,2018-19,32,1.624,29,0.966,1971
428,Ersan Ilyasova,2018-19,32,1.007,28,0.700,3178
429,Bam Adebayo,2017-18,32,1.138,31,0.935,2813
430,Derrick Favors,2016-17,32,1.203,27,0.815,2660
431,Paul Pierce,2013-14,32,0.699,30,0.867,4579
432,Amir Johnson,2018-19,32,2.756,29,0.862,1161
433,Joakim Noah,2014-15,32,0.684,32,0.969,4681
434,Jaylen Brown,2019-20,32,0.605,28,1.179,5289
435,Ivica Zubac,2018-19,32,1.394,28,1.143,2296
436,Jahlil Okafor,2016-17,32,1.426,31,1.355,2244
437,Dario Saric,2019-20,31,0.926,30,0.667,3349
438,Bruno Caboclo,2019-20,31,5.626,31,0.774,551
439,Kevin Seraphin,2014-15,31,1.260,29,0.586,2460
440,Jusuf Nurkic,2015-16,31,2.862,26,0.923,1083
441,Taj Gibson,2017-18,31,0.548,29,0.724,5655
442,Kevin Durant,2018-19,31,0.469,29,0.724,6613
443,Chris Boucher,2019-20,31,1.729,28,1.250,1793
444,Jusuf Nurkic,2020-21,31,1.419,29,1.207,2185
445,Michael Kidd-Gilchrist,2018-19,31,1.276,27,0.963,2430
446,DeMarcus Cousins,2014-15,31,0.775,30,1.000,4000
