Season,Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff
2017-18,Houston Rockets,1,9,65,17,79.30%,62.1,62.1,7,2.9,1,114.8,6,105.8,8,1
2017-18,Portland Trail Blazers,10,2.1,49,33,59.80%,46.7,46.7,8,2.3,15,108.4,7,106.3,9,1
2017-18,Miami Heat,16,0.6,44,38,53.70%,42.6,42.6,12,1.4,20,107,8,106.4,17,-0.1
2017-18,Golden State Warriors,3,7.2,58,24,70.70%,58.5,58.5,16,-0.5,2,113.9,9,106.7,29,-2.5
2017-18,Oklahoma City Thunder,7,3.2,48,34,58.50%,49.3,49.3,20,-1.3,7,110.2,10,107,23,-1.1
2017-18,New Orleans Pelicans,11,2.1,48,34,58.50%,46.5,46.5,11,1.5,11,109.3,11,107.2,13,0.4
2017-18,Indiana Pacers,12,1.9,48,34,58.50%,45.9,45.9,9,2.1,13,109.3,12,107.4,5,1.8
2017-18,Detroit Pistons,19,-0.3,39,43,47.60%,40.3,40.3,21,-1.3,19,107.2,13,107.4,15,0
2017-18,Los Angeles Lakers,21,-1.2,35,47,42.70%,37.9,37.9,24,-2.9,23,106.5,14,107.7,4,2
2017-18,Washington Wizards,14,0.8,43,39,52.40%,43.2,43.2,14,-0.2,14,108.6,15,107.8,25,-1.5
2017-18,Charlotte Hornets,17,0.2,36,46,43.90%,41.5,41.5,29,-5.5,10,109.3,16,109.1,20,-0.5
2017-18,Dallas Mavericks,22,-3.2,24,58,29.30%,32.6,32.6,30,-8.6,24,105.9,17,109.1,7,1.1
2017-18,Milwaukee Bucks,20,-0.3,44,38,53.70%,40.1,40.1,4,3.9,12,109.3,18,109.6,28,-1.9
2017-18,LA Clippers,18,-0.2,42,40,51.20%,40.5,40.5,10,1.5,8,109.8,19,110,12,0.5
2017-18,Orlando Magic,25,-5,25,57,30.50%,28.1,28.1,27,-3.1,25,105.3,20,110.3,18,-0.2
2017-18,Denver Nuggets,13,1.6,46,36,56.10%,45.2,45.2,13,0.8,6,112.1,21,110.5,19,-0.5
2017-18,Brooklyn Nets,23,-3.9,28,54,34.10%,31,31,26,-3,22,106.8,22,110.7,11,0.8
2017-18,Minnesota Timberwolves,8,2.6,47,35,57.30%,47.6,47.6,17,-0.6,4,113.3,23,110.7,22,-0.6
2017-18,Memphis Grizzlies,26,-6.4,22,60,26.80%,24.9,24.9,25,-2.9,27,104.5,24,110.9,26,-1.7
2017-18,New York Knicks,24,-4,29,53,35.40%,30.6,30.6,22,-1.6,21,106.9,25,111,10,0.9
2017-18,Atlanta Hawks,27,-6.6,24,58,29.30%,24.4,24.4,15,-0.4,26,104.5,26,111.1,14,0.2
2017-18,Chicago Bulls,28,-7.4,27,55,32.90%,22.7,22.7,3,4.3,28,103.8,27,111.2,24,-1.1
2017-18,Sacramento Kings,29,-7.7,27,55,32.90%,21.9,21.9,2,5.1,29,103.5,28,111.2,21,-0.5
2017-18,Cleveland Cavaliers,15,0.7,50,32,61.00%,42.8,42.8,1,7.2,5,112.7,29,112,30,-3.5
2017-18,Phoenix Suns,30,-9.8,21,61,25.60%,17.9,17.9,6,3.1,30,103.1,30,112.9,27,-1.9
