,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
633,Taj Gibson,2018-19,385,10.969,309,1.038,3510
634,Henry Sims,2013-14,384,22.235,332,0.896,1727
635,Channing Frye,2015-16,384,14.217,316,0.835,2701
636,Dirk Nowitzki,2018-19,384,24.000,337,0.942,1600
637,Alan Williams,2016-17,384,26.428,337,0.885,1453
638,Jeff Ayres,2013-14,383,19.140,339,0.837,2001
639,Damian Jones,2020-21,383,33.685,330,0.931,1137
640,David Lee,2014-15,383,18.830,323,0.799,2034
641,Precious Achiuwa,2020-21,381,24.789,336,0.912,1537
642,Marreese Speights,2013-14,381,18.353,323,0.905,2076
643,Tiago Splitter,2014-15,379,16.874,327,0.809,2246
644,Skal Labissiere,2019-20,377,31.681,321,0.963,1190
645,Udonis Haslem,2013-14,376,24.607,309,0.949,1528
646,Ian Mahinmi,2016-17,375,30.463,318,0.884,1231
647,Jason Smith,2013-14,375,23.467,311,0.990,1598
648,Andrew Bogut,2016-17,372,33.544,312,0.818,1109
649,Jason Smith,2016-17,369,15.049,307,0.919,2452
650,Paul Millsap,2015-16,368,6.109,316,0.788,6024
651,Robert Williams III,2019-20,365,32.913,292,0.990,1109
652,Cole Aldrich,2016-17,364,34.535,312,0.984,1054
653,Thaddeus Young,2013-14,363,6.525,316,1.050,5563
654,Goga Bitadze,2020-21,363,28.471,313,0.972,1275
655,Kris Humphries,2016-17,362,26.423,315,0.950,1370
656,Marcus Morris Sr.,2020-21,362,8.590,321,0.978,4214
657,Salah Mejri,2018-19,361,44.240,309,1.051,816
658,Kyle O'Quinn,2014-15,360,22.684,307,0.874,1587
659,Kelly Olynyk,2015-16,358,12.548,312,0.801,2853
660,Jeff Withey,2015-16,358,29.272,313,0.873,1223
661,Mike Muscala,2018-19,357,12.991,313,0.911,2748
662,Al Jefferson,2017-18,357,37.579,315,1.034,950
663,Thon Maker,2018-19,356,16.581,293,0.956,2147
664,Isaiah Hartenstein,2020-21,356,31.449,300,0.888,1132
665,Kendrick Perkins,2015-16,354,32.388,295,0.900,1093
