Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Jonas Jerebko,2018-19,58,2.103,54,1.167,2758,ff4137d9-89ef-11e6-ad62-a45e60e298d3
Patrick Patterson,2020-21,58,4.936,51,0.980,1175,ff4174a1-89ef-11e6-a875-a45e60e298d3
Reggie Perry,2021-22,58,15.303,51,0.843,379,dae33758-ea18-4ce7-b0c1-f84c9954d9ad
Brook Lopez,2018-19,58,0.990,53,0.604,5856,ff423f0c-89ef-11e6-99c1-a45e60e298d3
Domantas Sabonis,2017-18,58,1.523,53,1.151,3809,800c3b36-c941-4605-ae99-9ce2b60edbdf
Clint Capela,2021-22,58,1.332,54,0.870,4353,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Dwight Howard,2019-20,58,1.799,56,1.125,3224,ff418bd7-89ef-11e6-9e3d-a45e60e298d3
Karl-Anthony Towns,2018-19,57,1.087,55,0.673,5246,ff417a73-89ef-11e6-a33e-a45e60e298d3
Cristiano Felicio,2018-19,57,3.750,55,0.945,1520,ff410d63-89ef-11e6-9df8-a45e60e298d3
LeBron James,2021-22,57,1.322,51,0.863,4313,ff41e9f0-89ef-11e6-87b7-a45e60e298d3
Marcus Morris Sr.,2018-19,57,1.172,54,1.204,4865,ff429d26-89ef-11e6-a6f3-a45e60e298d3
Serge Ibaka,2021-22,57,3.071,52,0.778,1856,ff41e09c-89ef-11e6-a26f-a45e60e298d3
Ivica Zubac,2020-21,57,1.496,53,1.113,3811,4364572d-1c61-49fe-a083-495a2ebe45d5
P.J. Tucker,2021-22,57,1.169,52,0.962,4876,ff41362b-89ef-11e6-babd-a45e60e298d3
Marcus Morris Sr.,2021-22,57,1.738,54,0.818,3279,ff429d26-89ef-11e6-a6f3-a45e60e298d3
Amir Johnson,2016-17,57,1.638,54,0.852,3480,ff4157f5-89ef-11e6-be80-a45e60e298d3
Enes Freedom,2017-18,57,1.591,50,0.745,3582,ff41d597-89ef-11e6-99f9-a45e60e298d3
Nikola Jokic,2017-18,57,1.188,52,1.000,4798,ff41306e-89ef-11e6-8903-a45e60e298d3
Grant Williams,2019-20,56,2.220,54,0.759,2522,561048bb-c412-4d8b-a0bc-27d250a1a431
Terry Taylor,2021-22,56,3.823,52,1.077,1465,0852ab90-243b-4951-bfb0-c536f151cba5
Karl-Anthony Towns,2021-22,56,0.988,53,1.132,5666,ff417a73-89ef-11e6-a33e-a45e60e298d3
Brandon Bass,2013-14,56,1.301,54,0.907,4304,ff402a33-89ef-11e6-9162-a45e60e298d3
Dewayne Dedmon,2016-17,56,2.037,53,0.981,2749,ff41de23-89ef-11e6-a0fc-a45e60e298d3
Andre Drummond,2017-18,55,1.052,52,0.904,5226,ff415268-89ef-11e6-a137-a45e60e298d3
